Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score
SVM,0.7866449511400652,0.7727272727272727,0.7567567567567568,0.5185185185185185,0.6153846153846154
Logistic Regression,0.7850162866449512,0.7597402597402597,0.717948717948718,0.5185185185185185,0.6021505376344086
Random Forest,1.0,0.7337662337662337,0.6585365853658537,0.5,0.5684210526315789
Neural Network,0.8664495114006515,0.7012987012987013,0.5952380952380952,0.46296296296296297,0.5208333333333334
